total_contacts,pTM,chain_pair_pae_min_AH,chain_pair_pae_HL,ranking_confidence,pdockq_AH,pdockq_HL,avg_LIS,pdockq2,interface_pae_AL,chain_pair_pae_AH,interface_plddt_AL,interface_pae_HL,del_G_B,interface_pae_AH,pdockq_AL,contacts_AH,mpdockq_HL,chain_pair_pae_AL,avg_interface_plddt,chain_pair_pae_min_HL,pdockq2_AL,ptm_H,ptm_A,iptm_A,chain_plddt_H,contacts_HL,mpdockq_AH,interface_plddt_HL,chain_pae_H,query_avg_RMSD,scaled_model_RMSD,LIS_HL,iptm_L,scaled_query_RMSD,chain_pair_iptm_AL,chain_pair_pae_min_AL,LIS_AL,mpdockq,chain_pair_iptm_HL,contacts_AL,scaled_RMSD_ratio,chain_pae_A,avg_model_plddt,fraction_disordered,iptm_H,pdockq,ipTM,pdockq2_HL,chain_plddt_L,has_clash,chain_pair_iptm_AH,chain_pae_L,chain_plddt_A,pdockq2_AH,avg_internal_pae,interface_plddt_AH,avg_interface_pae,model_avg_RMSD,ptm_L,avg_pair_pae,mpdockq_AL,LIS_AH
7377.0,0.68,22.06,4.909091591591592,0.58,0.0420384990750941,0.3784511513957612,0.2176599869057061,0.0094455365190977,29.486263736263737,28.134508771929827,63.7966935483871,4.236328502415459,123.72308992555531,28.50590277777778,0.0318162009549719,2015.0,0.2620001524462866,28.460834518729257,68.42598064759402,1.07,0.0093420344457499,0.88,0.73,0.07,86.88569892473117,4556.0,0.262000000269606,78.5997794117647,3.312878151260504,43.32012777133689,0.0214169412265663,0.6529799607171183,0.47,0.0370725090071022,0.07,22.43,0.0,0.2620000010656105,0.87,806.0,0.3624327097869761,4.758756998880179,82.77813434632976,0.02,0.47,0.0661286000216618,0.54,0.2875783119272809,85.73470930232557,0.0,0.07,3.3845208845208847,75.71399481193257,0.0095900340541024,3.8187186782205225,62.88146898263027,20.742831672152324,57.45648447364431,0.87,20.50147829408356,0.2620000000923799,0.0
7476.0,0.69,20.345,4.766921921921922,0.59,0.0512430164399398,0.3972761098341128,0.2199863436122957,0.0098816995093548,27.46153846153846,27.376679824561407,63.14644249512671,4.04207729468599,102.38543467522464,27.436,0.0300805186253463,2092.0,0.2620001854822335,27.588534850640112,68.65760717364367,1.06,0.0102750347254737,0.88,0.73,0.08,87.45415053763439,4358.0,0.2620000005092192,81.82951239100505,3.2499929971988792,43.32012777133689,0.0309628874145069,0.6599590308368872,0.48,0.0370725090071022,0.08,19.43,0.0,0.262000001506897,0.88,1026.0,0.4535316863327907,4.816338185890257,83.49083440185598,0.02,0.48,0.0750773570665857,0.55,0.3101649626643569,86.70269767441862,0.0,0.09,3.308968058968059,76.31565499351493,0.0097361507638396,3.791766414019065,60.99686663479923,19.64653858540815,47.55195798130786,0.87,19.910712199041143,0.2620000000714004,0.0
8426.0,0.69,19.61,4.807214714714714,0.59,0.0732400053556776,0.3979549659908806,0.22050988235631,0.0104899976591579,26.469526627218936,26.344995614035085,64.13674477696217,4.117481481481481,246.6839565792748,25.90868347338936,0.0688029863277533,2407.0,0.2620001868010771,26.38855381697487,70.3846865629207,1.07,0.0106690412237011,0.88,0.71,0.09,87.0880430107527,4248.0,0.2620000014094548,83.0842031544256,3.2729761904761903,43.32012777133689,0.0478145651525844,0.6615296470689302,0.49,0.0370725090071022,0.1,18.62,0.0,0.2620000100145241,0.87,1771.0,0.5660303061249446,4.987480403135498,83.5647778173467,0.0,0.48,0.1551943049704831,0.56,0.3140304165636797,86.80202325581396,0.0,0.09,3.267321867321867,76.80426718547342,0.0102535811507747,3.8425928203111854,63.93311175737433,18.831897194029928,37.93146246732629,0.87,19.18025471524156,0.2620000011887915,0.0
8275.0,0.69,19.72,4.8165015015015005,0.6,0.074040909507382,0.4255738126573697,0.2193390948798036,0.0100733545200968,25.571428571428573,26.380008771929823,66.56579650092081,4.1413161801088565,179.52292885365915,27.482333333333333,0.0282079284710057,2506.0,0.2620002496339947,25.82122332859176,69.91291713737449,1.0950000000000002,0.0108708110157429,0.88,0.73,0.1,87.07452688172043,4683.0,0.2620000014514883,79.2369453341875,3.3007633053221284,43.32012777133689,0.0472989186933809,0.658017284639411,0.49,0.0370725090071022,0.1,18.525,0.0,0.2620000033389437,0.87,1086.0,0.5632318025609725,4.666170212765957,84.00529969846548,0.02,0.49,0.1015954894137056,0.56,0.2412831020231747,86.85867441860466,0.0,0.11,3.2664291564291568,78.08269779507133,0.0100235700114728,3.74445422483908,63.93600957701517,19.06502602829025,38.147988987274864,0.87,19.00591120067436,0.2620000000517243,0.0
6767.0,0.69,20.16,4.632323573573573,0.58,0.040103939468985,0.4131299587761864,0.2206597496876894,0.0099930237844614,26.87777777777778,27.07312280701754,62.644043977055446,3.840869565217392,11.9584021512278,26.76342105263157,0.0276432702181711,1973.0,0.2620002189545863,27.386794689426267,69.05808545753632,1.06,0.0105021059382952,0.88,0.74,0.09,87.61387096774193,4271.0,0.262000000228981,83.15120580660268,3.197885154061624,43.32012777133689,0.0291980286144526,0.6619792490630683,0.48,0.0370725090071022,0.09,19.63,0.0,0.2620000008874887,0.88,523.0,0.4385820088942072,4.540705487122061,83.9795556630727,0.0,0.49,0.0619473007052143,0.56,0.3295914044003283,87.16575581395348,0.0,0.09,3.1740622440622444,77.1590402075227,0.0098090231246204,3.637550961748643,61.37900658895084,19.160689465208915,49.01257112934496,0.87,19.697413690005792,0.2620000000463952,0.0
9075.0,0.7,19.46,4.615574324324324,0.6,0.0858013068700433,0.4214214327615487,0.2202706423914685,0.0101460653932407,25.04978991596639,26.177719298245613,67.15453162530024,3.986640277090549,66.26407531431207,27.291533180778032,0.0332943651022425,2726.0,0.262000238919424,25.54777619724988,69.84468223075538,1.045,0.0107428255343605,0.88,0.73,0.11,87.17925806451613,5100.0,0.2620000021491765,78.58040098039216,3.22266106442577,43.32012777133689,0.0470408209650693,0.6608119271744055,0.49,0.0370725090071022,0.1,18.12,0.0,0.2620000059766719,0.88,1249.0,0.5618186151346722,4.671041433370661,84.07225906768521,0.01,0.5,0.127286536691952,0.56,0.162568313110055,87.04958139534884,0.0,0.11,3.0836527436527432,77.98793774319066,0.0099649757357464,3.659118413816392,63.79911408657374,18.77598779127832,38.25767982339929,0.88,18.78035660660661,0.2620000001123247,0.0
9246.0,0.69,19.54,4.771753003003003,0.59,0.0813875369939147,0.4050779471004621,0.2189795799000055,0.0101033408764023,25.825401069518712,26.31456140350877,68.06969055374593,4.071884057971015,406.5127522929572,27.394555555555552,0.0452729764534658,3060.0,0.2620002012354971,25.80586533902323,70.63995251758693,1.0750000000000002,0.0103839441693522,0.88,0.72,0.11,87.16621505376344,4651.0,0.2620000018693474,80.21972909051816,3.295273109243697,43.32012777133689,0.0477640107279342,0.6569387397000166,0.49,0.0370725090071022,0.1,18.625,0.0,0.2620000070305395,0.88,1535.0,0.5657573917009483,4.6706718924972,84.12798696123447,0.01,0.49,0.135525058428919,0.56,0.25618607619195,87.12098837209301,0.0,0.11,3.199705159705159,78.09675745784696,0.0100587278437776,3.721883387148685,63.63043790849672,19.09728022768176,37.95253835162972,0.87,18.964059915178336,0.2620000003450204,0.0
7878.0,0.69,19.13,4.732987987987988,0.59,0.0409963780709695,0.3746965249949093,0.2216404574459038,0.0103131900898246,26.114,26.73347807017544,65.2294655004859,4.096338446313705,89.6993782488625,26.62475,0.0355904531428432,1996.0,0.2620001466009692,26.799027975343765,67.69033975184453,1.04,0.0106135015115165,0.88,0.73,0.1,87.19760215053762,4853.0,0.2620000002473073,77.51058932618997,3.3800980392156865,43.32012777133689,0.026224339503212,0.6649213723377116,0.49,0.0370725090071022,0.09,18.045,0.0,0.2620000014932644,0.88,1029.0,0.4115913830935725,4.817569988801791,83.6761948651884,0.01,0.49,0.0748243320491309,0.56,0.1565415661994075,86.99351162790697,0.0,0.1,3.1646109746109747,76.83747081712063,0.0099796098510455,3.787426334209485,60.33096442885772,18.94502948210457,51.7959858976065,0.88,19.4218313445024,0.2620000001471002,0.0
6697.0,0.69,20.1,5.292331081081081,0.58,0.0195256174535866,0.3999973680323941,0.2140110775296594,0.0106864743035532,25.876503759398496,27.350850877192983,61.87672824791418,4.063378099173554,-15.05013992972033,27.76,0.0537661570198283,874.0,0.2620001908273173,26.482432432432432,66.89722968411171,1.12,0.0107337695722351,0.88,0.72,0.09,87.44793548387096,4145.0,0.2620000000014063,83.29592762364294,3.2726750700280114,43.32012777133689,0.0241447308301926,0.6420332325889784,0.48,0.0370725090071022,0.09,17.87,0.0,0.2620000006479206,0.87,1678.0,0.3912298112565369,4.71552071668533,83.38650716472893,0.01,0.48,0.0555405894933274,0.55,0.426878241116537,85.71839534883722,0.0,0.09,3.5862407862407863,76.9931906614786,0.0099424371270477,3.858145524318042,55.51903318077802,19.23329395285735,54.03814687137058,0.86,19.7085381302355,0.2620000005885422,0.0
8203.0,0.69,18.935,5.399632132132132,0.58,0.0381812123806714,0.4226206553146019,0.2118005214009511,0.0102853345219548,26.362225705329152,26.22018421052632,62.14014987080103,4.084619450317125,137.95498159589533,25.937813620071683,0.0488225689762332,1997.0,0.2620002419626821,26.303124703651022,68.67660859825945,1.175,0.0101250711644688,0.88,0.7,0.1,87.19056989247314,4271.0,0.2620000001919004,83.12978108171389,3.229803921568627,43.32012777133689,0.0477660252157219,0.6354015642028534,0.48,0.0370725090071022,0.1,18.515,0.0,0.2620000023796821,0.86,1935.0,0.5657682727800618,5.023314669652856,82.90268865205925,0.01,0.48,0.089197157683415,0.55,0.4360883686231238,85.34551162790697,0.0,0.1,3.69004914004914,76.17198443579767,0.0102667233440146,3.981055910423541,60.75989484226339,18.794886258572653,37.95169789252773,0.86,19.30764701543649,0.2620000004386992,0.0
