mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__max_iter,param_model__penalty,param_model__random_state,param_model__solver,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.023108164469401043,0.0027298886448562597,0.0036825338999430337,0.00040486686905111615,0.00983736739502343,,2000,l1,42,liblinear,,"{'model__C': 0.00983736739502343, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9632622861280119,0.9614204783619342,0.9552482599198894,0.9599770081366118,0.003427230051092076,9
0.013132333755493164,0.0007967766518657795,0.0033989747365315757,0.00014989638973878175,0.0006372635957865113,,2000,l2,42,liblinear,,"{'model__C': 0.0006372635957865113, 'model__class_weight': None, 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9577717936667217,0.9545136992391428,0.9526882884489247,0.9549912604515963,0.002102626113312026,18
0.9569510618845621,0.4209202351723062,0.00598756472269694,0.001953801967125952,0.024807550474803295,,4000,l1,42,saga,0.5,"{'model__C': 0.024807550474803295, 'model__class_weight': None, 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga'}",0.9632114776379133,0.9633670786388406,0.9532614163901855,0.9599466575556465,0.0047276061594393294,10
1.2693456808725994,0.5947100314971274,0.0046880245208740234,0.001956705805738909,0.014004101198243836,,4000,l1,42,saga,0.9,"{'model__C': 0.014004101198243836, 'model__class_weight': None, 'model__l1_ratio': 0.9, 'model__max_iter': 4000, 'model__penalty': 'l1', 'model__random_state': 42, 'model__solver': 'saga'}",0.9638497592947781,0.9626208289405159,0.9545286659491955,0.9603330847281631,0.004134894232837664,8
0.05847557385762533,0.020950469329909856,0.0031971136728922525,9.50674132699462e-05,0.0007023704466688083,balanced,4000,l2,42,saga,0.1,"{'model__C': 0.0007023704466688083, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.1, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9581401552199372,0.9546407204643895,0.9531690791107602,0.9553166515983623,0.002084955889895187,17
0.14027579625447592,0.06151362768650479,0.005975882212320964,0.0033882961610814505,0.01943175419115279,balanced,4000,l2,42,saga,0.5,"{'model__C': 0.01943175419115279, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9707628894788319,0.9662536359825727,0.9637432896270212,0.9669199383628087,0.002904211271735863,3
0.10461974143981934,0.04606553627377329,0.003118753433227539,0.0001908239514196158,0.008188226417204332,,4000,l2,42,saga,0.9,"{'model__C': 0.008188226417204332, 'model__class_weight': None, 'model__l1_ratio': 0.9, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9641450836434768,0.9607155105618149,0.957002668228971,0.9606210874780876,0.002916643193512965,7
0.07511464754740398,0.03303795548037098,0.003429889678955078,0.00022676635998465834,0.004756609009957061,balanced,4000,l2,42,saga,0.5,"{'model__C': 0.004756609009957061, 'model__class_weight': 'balanced', 'model__l1_ratio': 0.5, 'model__max_iter': 4000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'saga'}",0.9637417912533183,0.960982255134833,0.9573210726407825,0.960681706342978,0.0026298484186425474,6
0.01839892069498698,0.0007447379844640837,0.0031501452128092446,0.0001615496956349909,0.041834796184430575,balanced,2000,l2,42,liblinear,,"{'model__C': 0.041834796184430575, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9746179836650705,0.9683748904441931,0.9671947934510581,0.9700625558534405,0.003257002623940204,1
0.014844735463460287,0.000686750534570169,0.0030558109283447266,2.3959189036130023e-05,0.0065986897170109225,balanced,2000,l2,42,liblinear,,"{'model__C': 0.0065986897170109225, 'model__class_weight': 'balanced', 'model__max_iter': 2000, 'model__penalty': 'l2', 'model__random_state': 42, 'model__solver': 'liblinear'}",0.9649421418319,0.9616586431592721,0.9594034374940298,0.9620014074950674,0.002274119166916477,5
