model_path,del_G_B
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-3_sample-1/PDBs/model.pdb,-45.44688767677519
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-3_sample-2/PDBs/model.pdb,-39.56180787093081
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-3_sample-3/PDBs/model.pdb,0.9960505146285072
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-3_sample-4/PDBs/model.pdb,-36.235578439058145
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-4_sample-0/PDBs/model.pdb,-58.789648699090094
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-4_sample-1/PDBs/model.pdb,-60.08777477060835
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-4_sample-2/PDBs/model.pdb,-62.80526431523572
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-4_sample-3/PDBs/model.pdb,-53.22856303440415
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-4_sample-4/PDBs/model.pdb,-64.89437331205647
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-5_sample-0/PDBs/model.pdb,-59.86748436589414
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-5_sample-1/PDBs/model.pdb,-58.7843020362767
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-5_sample-2/PDBs/model.pdb,-57.271353246600256
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-5_sample-3/PDBs/model.pdb,-56.06244434198544
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-5_sample-4/PDBs/model.pdb,-57.48634447170724
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-6_sample-0/PDBs/model.pdb,-61.24300863962526
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-6_sample-1/PDBs/model.pdb,-55.68930737236053
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-6_sample-2/PDBs/model.pdb,-61.04704548222344
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-6_sample-3/PDBs/model.pdb,-60.7255755881265
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-6_sample-4/PDBs/model.pdb,-58.032989885852544
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-7_sample-0/PDBs/model.pdb,-62.096479680382345
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-7_sample-1/PDBs/model.pdb,-64.18054411603578
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-7_sample-2/PDBs/model.pdb,-60.082040391010196
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-7_sample-3/PDBs/model.pdb,-57.874315028411615
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-7_sample-4/PDBs/model.pdb,-65.35380753683637
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-8_sample-0/PDBs/model.pdb,-71.39958678669598
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-8_sample-1/PDBs/model.pdb,-59.93463241465906
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-8_sample-2/PDBs/model.pdb,-65.99588797439867
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-8_sample-3/PDBs/model.pdb,-71.10648481980462
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-8_sample-4/PDBs/model.pdb,-66.13109500758276
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-9_sample-0/PDBs/model.pdb,-47.59791832855342
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-9_sample-1/PDBs/model.pdb,-57.66988725939598
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-9_sample-2/PDBs/model.pdb,10.753930963924574
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-9_sample-3/PDBs/model.pdb,-14.998437248876314
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-9_sample-4/PDBs/model.pdb,-33.83337402490179
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-10_sample-0/PDBs/model.pdb,-57.313146841401476
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-10_sample-1/PDBs/model.pdb,-54.78672882392567
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-10_sample-2/PDBs/model.pdb,-60.134761257201035
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-10_sample-3/PDBs/model.pdb,-55.99471586322284
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7xy8_7xy8/seed-10_sample-4/PDBs/model.pdb,-60.938801265634766
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-1_sample-0/PDBs/model.pdb,-28.87287455391754
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-1_sample-1/PDBs/model.pdb,13.689436817436217
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-1_sample-2/PDBs/model.pdb,-9.197718608880962
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-1_sample-3/PDBs/model.pdb,-31.105010440880847
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-1_sample-4/PDBs/model.pdb,-10.74049691965638
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-2_sample-0/PDBs/model.pdb,151.82019610156055
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-2_sample-1/PDBs/model.pdb,52.22111594133537
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-2_sample-2/PDBs/model.pdb,51.023771547585
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-2_sample-3/PDBs/model.pdb,51.490471414876254
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-2_sample-4/PDBs/model.pdb,0.6122320130731396
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-3_sample-0/PDBs/model.pdb,-25.557808578814218
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-3_sample-1/PDBs/model.pdb,1.9992598024141444
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-3_sample-2/PDBs/model.pdb,-18.57416905165337
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-3_sample-3/PDBs/model.pdb,50.56023757868837
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-3_sample-4/PDBs/model.pdb,15.251538794951387
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-4_sample-0/PDBs/model.pdb,290.9792100380087
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-4_sample-1/PDBs/model.pdb,-9.29332250232494
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-4_sample-2/PDBs/model.pdb,-5.867428372251425
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-4_sample-3/PDBs/model.pdb,-24.265596681696366
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-4_sample-4/PDBs/model.pdb,12.658955922118253
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-5_sample-0/PDBs/model.pdb,-5.111292267527176
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-5_sample-1/PDBs/model.pdb,-8.221207445533253
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-5_sample-2/PDBs/model.pdb,-25.721234029083632
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-5_sample-3/PDBs/model.pdb,-16.58815420644811
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-5_sample-4/PDBs/model.pdb,39.57496495630923
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-6_sample-0/PDBs/model.pdb,21.06785541877889
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-6_sample-1/PDBs/model.pdb,-25.348548541665537
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-6_sample-2/PDBs/model.pdb,10.336335986103506
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-6_sample-3/PDBs/model.pdb,99.26572014806095
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-6_sample-4/PDBs/model.pdb,-13.018655680078325
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-7_sample-0/PDBs/model.pdb,49.28532502444523
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-7_sample-1/PDBs/model.pdb,-1.8054834321893338
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-7_sample-2/PDBs/model.pdb,422.0750156139493
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-7_sample-3/PDBs/model.pdb,78.32770749156779
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-7_sample-4/PDBs/model.pdb,10.090221621043156
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-8_sample-0/PDBs/model.pdb,57.37720084115489
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-8_sample-1/PDBs/model.pdb,98.8888641017358
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-8_sample-2/PDBs/model.pdb,330.62671883658146
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-8_sample-3/PDBs/model.pdb,36.28316346178187
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-8_sample-4/PDBs/model.pdb,-35.17842094702104
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-9_sample-0/PDBs/model.pdb,-31.33475794131482
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-9_sample-1/PDBs/model.pdb,-43.88190364225119
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-9_sample-2/PDBs/model.pdb,-29.456983323232407
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-9_sample-3/PDBs/model.pdb,-40.24967069772549
/home/cseomoon/project/ABAG/AbNb_benchmark/AF3_results/7z2m_7z2m/seed-9_sample-4/PDBs/model.pdb,186.9431057967692
