,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,plddt_H3,plddt_L3,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,piTM,pIS,piTM_A,piTM_H,piTM_L,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
10,-0.018863386,0.0,-0.01873881,0.021278355,-0.02538791,-0.7525086,0.0066885557,0.09884624,-0.004996733,-0.12610783,-0.007155604,-0.3217839,-0.46511915,0.05576216,-0.019173738,-0.08821466,-0.15721755,-0.47494933,-0.15453205,0.073252805,-0.16514641,-0.18112591,0.08897825,-0.022147097,0.03599864,0.12280962,-0.04472206,-0.052550174,0.031286906,-0.07752954,-0.4156465,0.089711316,-0.09631319,-0.29172164,0.20117572,-0.37687296,0.09649499,-0.11499124,-0.35358074,0.119397275,-0.16285084,-0.08990709,0.0048106704,-0.20834406,0.12349604,-0.07991569,0.14919327,0.60825795,0.19300021,-0.04640317,-0.006343289,-0.012059099,-0.01982512,0.03249022,-0.8468931,-0.11858796,0.015236074,-0.020155633,-0.021403376,0.08894503,-0.61838824,-0.26763284,0.18643403,-0.33631867,-0.06693989,-0.4412516,-0.048969205,-0.19562346,-0.22667015,0.20126256,-0.90372604
11,-0.03217122,0.0,0.008842473,0.022600047,-0.02538791,-0.74564797,-0.0009671529,0.19362737,-0.013553155,-0.12636948,-0.007155604,-0.3719915,-0.46272564,0.035838388,-0.032553703,-0.093828164,-0.18060116,-0.1983016,-0.17161648,0.083290644,-0.20126183,-0.16807732,0.09064262,-0.016002232,0.030562134,0.10523864,0.039784007,-0.034606844,0.031717665,-0.11654827,-0.4004266,0.14378439,0.024571588,-0.24271694,-0.12972718,-0.004195446,0.11320318,-0.026891483,-0.42969072,0.1473628,0.35172957,-0.031898577,-0.037813526,0.15321985,-0.30955908,-0.15921605,-0.89203924,-0.2517606,-0.3769673,-0.06575777,-6.0058315e-05,-0.012242409,-0.04170786,0.039332177,-0.80363417,-0.1651375,-0.077654496,0.1278245,-0.056995396,0.14667684,-0.60564524,-0.33898458,0.5485265,-0.34863865,-0.09063375,-0.024611127,0.047031812,0.25778067,0.018217169,0.2549135,-0.10661882
12,-0.018863386,0.0,-0.08018867,0.024852507,-0.0569813,-0.7327846,0.0066885557,0.17011482,-0.004996733,-0.12636948,-0.007155604,-0.29582143,-0.47608927,0.05576216,-0.030519217,-0.06265621,-0.17180191,-0.43337095,-0.15042296,0.0741485,-0.17109372,-0.14646411,0.08800456,-0.043134015,0.03599864,0.12640019,0.015798505,-0.04124366,0.031286906,-0.08645623,-0.43477792,0.100178815,-0.44853213,-0.2917749,0.34747007,-0.44374534,0.123712584,-0.095879205,-0.33446932,0.1286538,-0.27856746,-0.0729989,0.0048106704,-0.20042802,0.13562128,-0.07377976,0.16519983,0.5958577,0.23726298,-0.045868903,-0.0051059397,-0.013836914,-0.01982512,0.03249022,-0.31114876,-0.114562154,0.0077765444,0.06871561,-0.015348776,0.10514963,-0.60677916,-0.3012628,0.19172753,-0.3398781,-0.049036596,-0.04428123,-0.03491058,-0.21094635,-0.22667015,0.23798613,-0.08193809
13,-0.03217122,0.0,0.0015044054,0.022600047,-0.028257016,-0.7246772,0.0066885557,-0.05227598,-0.0028295915,-0.0799601,-0.007155604,-0.26993713,-0.44818908,0.05576216,-0.032553703,-0.089571595,-0.17939053,-0.12491705,-0.17018984,0.09129989,-0.25268647,-0.21016997,0.08940323,0.07072725,-0.017589742,0.11430036,0.03150589,-0.040650856,0.031717665,0.023258138,-0.40250006,0.19702655,-0.08970104,-0.22847347,-0.030494498,-0.41776145,-0.014608096,-0.010430511,-0.41114467,0.12026178,0.33882946,-0.07172472,0.077448696,-0.14533891,-0.22405893,-0.26678827,-1.0880213,-0.17772347,0.21961777,-0.023182822,-0.027980197,-0.04000503,-0.029061686,0.0386419,-0.02069951,-0.14911062,-0.04794308,0.14198858,-0.06286145,0.06992022,-0.54980373,-0.33331558,0.25956097,-0.3521155,-0.083887585,0.074354246,-0.16409601,0.29307455,-0.013394552,-0.2884413,0.17454505
14,-0.018863386,0.0,-0.1097742,0.020357672,-0.028257016,-0.74564797,0.0066885557,0.11496829,-0.004996733,-0.12610783,-0.007155604,-0.28265196,-0.46511915,0.05576216,0.071717635,-0.08338701,-0.14403723,-0.38861272,-0.13442425,0.07950131,-0.19157463,-0.14389741,0.08800456,-0.050294325,0.027157448,0.12280962,-0.1074885,-0.05473855,0.031286906,-0.04453358,-0.3716005,0.096476965,-0.37844083,-0.31177443,0.34086987,0.08182735,0.12008308,-0.16615535,-0.3482532,0.12707943,-0.1592208,-0.08411712,0.0070704836,-0.23295024,0.16835237,-0.091491565,-0.38667923,0.8220464,0.21422784,-0.047471374,-0.0025963113,-0.012242409,-0.01982512,0.030673424,-0.39981508,-0.09841723,0.06013759,-0.16012871,-0.017142877,0.08246805,-0.5827603,-0.28940672,0.22721145,-0.35855561,-0.05666301,-0.048539236,-0.050534483,-0.19950928,-0.2332411,-0.23628123,-0.25497118
15,-0.01798487,0.0,0.08468014,-0.0009812571,0.0860334,0.39376286,-0.012617588,-0.051021423,-0.008382941,-0.085416116,-0.007155604,0.11514042,-0.20659268,0.055958956,-0.008754925,0.09253727,-0.040281624,0.17847422,-0.09345721,0.19914971,-0.29373634,0.24007058,0.039282933,-0.03261821,-0.050414436,0.08956912,0.21042888,-0.009114649,-0.05327703,-0.18468936,0.23314908,0.13419317,-0.3268187,0.050918374,0.32281944,0.10971697,0.012535309,-0.13393559,0.6087037,-0.024000192,0.45803118,-0.022702217,0.06293679,-0.10636688,0.16817619,-0.083344035,0.37589815,-0.13436347,0.19636954,-0.026314395,-0.01752651,0.010495165,0.042288177,0.011590151,0.12517625,-0.09061514,-0.019628733,-0.050585482,0.041573446,0.05416607,-0.112231284,-0.23302768,0.57141644,-0.12004245,-0.039613508,0.025807139,0.14455864,0.3003775,0.015435191,0.15603153,0.18289386
16,-0.03217122,0.0,-0.04629539,-0.009669633,-0.05026909,-0.6327072,-0.0009671529,0.14245176,-0.015959358,-0.15119952,-0.007155604,-0.3736679,-0.4710535,0.035838388,-0.15732913,-0.30481735,-0.105282634,-0.24958323,-0.1731226,0.24772489,-0.4457638,-0.23358801,0.08349062,-0.0011774627,-0.17898783,0.040884655,0.023148693,-0.06511616,-0.04805377,-0.11038615,-0.3890256,-1.0799118,-0.41293022,-0.34038424,-0.17999469,-0.037373424,-0.6939103,-0.069160365,-0.23140748,-0.114075065,0.112286404,-0.06267903,-0.47928432,0.08953035,-0.26578054,-0.21103042,-0.84704804,-0.1480538,-0.6496513,-0.063831635,0.02082129,-0.012242409,-0.062071472,0.022171099,0.021033626,-0.26710021,-0.04753181,-0.37093318,-0.06981992,-0.01377896,-0.5331186,-0.25638986,0.3903476,-0.34368762,-0.06168333,0.045181558,-0.46601105,0.18648262,-0.039127726,0.12003506,0.13842204
17,-0.01798487,0.0,0.05980414,-0.0009812571,0.072364256,0.3998033,-0.029580915,-0.047590706,-0.008382941,-0.085416116,-0.007155604,0.13549344,-0.20724651,0.055958956,-0.031892978,0.08626667,-0.051969044,-0.2346546,-0.09123021,0.22500138,-0.03669481,0.20797794,0.040626712,-0.08411876,-0.050811984,0.09415313,0.1812235,-0.012752374,-0.08698988,-0.18972762,0.13619472,0.14556499,0.0032150405,0.24392298,0.39882955,0.18886937,0.028781012,-0.12990882,0.30254292,-0.0040437393,0.45061147,-0.0030989135,0.07095432,-0.09389197,0.17119277,-0.11907887,0.3221571,-0.15047194,0.19989142,-0.040812895,-0.022891356,0.010495165,0.042288177,0.05257352,0.1252298,-0.19051409,-0.022149779,-0.13141347,0.045345455,0.03678799,-0.25237602,-0.2596082,0.6248524,-0.120413706,-0.08360943,0.038141012,0.14455864,0.29531455,0.035563618,0.2337161,0.18803999
18,-0.01798487,0.0,0.08468014,-0.0014750289,0.0860334,0.39376286,-0.012617588,-0.047590706,-0.008382941,-0.10751152,-0.007155604,0.11514042,-0.20755419,0.055958956,-0.008754925,0.08077773,-0.0277904,0.17847422,-0.09740858,0.20151655,-0.4110595,0.23248386,0.024451388,-0.04403605,-0.11327709,0.052835766,0.19762684,-0.01413884,-0.05327703,-0.16381411,0.23314908,0.12608904,-0.31965712,0.03984535,0.25969467,0.16426411,0.014859434,-0.13393559,0.6310859,-0.049864106,0.42554963,-0.004205917,0.06177548,0.120248474,0.1757692,-0.087054335,0.3459685,-0.11759163,0.19636954,-0.042898424,-0.040078845,0.010495165,0.046186823,-0.0169563,0.12052386,-0.114284456,0.035743635,0.047595914,0.032051783,-0.013939735,-0.1143398,-0.23302768,0.59139574,-0.15020026,-0.039613508,0.037084315,0.16166435,0.3120648,0.015435191,0.14504859,0.16453883
19,-0.018700464,0.0,-0.077464536,0.024852507,-0.0569813,-0.7240362,0.0066885557,-0.0699814,-0.008017482,-0.09430159,-0.007155604,-0.28679636,-0.45547897,0.05576216,-0.00961226,-0.03426965,-0.08298154,-0.299902,-0.13753141,0.23676561,-0.40321028,-0.06224824,0.10583569,0.16839515,-0.018756853,0.11910592,-0.006933227,-0.04152644,0.032268062,-0.105155356,-0.45722488,0.10161843,-0.42122766,-0.27079082,0.15825057,0.014908541,0.078894444,-0.1473096,-0.5336661,-0.06404455,-0.22319753,-0.06652114,0.052582763,-0.17246729,0.17073576,-0.017323256,0.18685201,-0.15352824,0.29362097,-0.022492988,-0.03405727,-0.013836914,-0.009540926,0.01885829,0.023214376,-0.028516043,0.07037577,-0.13078174,-0.0036920682,0.018809658,-0.53695464,-0.35948253,0.28370664,-0.3280644,-0.049556363,-0.045021266,-0.10406792,-0.22655895,-0.07146347,0.09126226,-0.06597316
