,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,mpdockq_AH,mpdockq_AL,mpdockq_HL,mpdockq,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,chain_plddt_L,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pair_pae_AH,chain_pae_H,chain_pae_L,chain_pair_pae_AL,avg_pair_pae,avg_model_plddt,chain_pair_pae_HL,avg_internal_pae,del_G_B,scaled_model_RMSD,scaled_query_RMSD,dG_separated,dSASA_int,nres_int,delta_unsatHbonds,packstat,dG_dSASA_norm
367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035765442557124847,0.0,3.1770745601715035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022272184587277876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009469015399991667,0.22310529740904986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05192004133975508,0.0,0.0,0.0,0.0,0.16817607527422107,0.0,0.0,0.0,0.0,0.0,0.0
368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034120184839600554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01320342156500289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25067831552359854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01320342156500289,0.03879662880659493,0.0,0.0,0.0,0.0,0.1492141576985697,0.0,0.0,0.0,0.0,0.01320342156500289,0.0
369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00805293474897075,0.0,0.0,0.0,0.00805293474897075,0.0,0.0,0.0,0.0,-0.003822480691633536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005602151524584949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24511295264114238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05493111176668828,0.0,0.0,0.0,0.0,0.15483012864674411,0.0,0.0,0.0,0.0,0.0,0.0
370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01663684746504185,0.0,0.0,0.01118961060843321,0.0,0.0,0.0,0.0,0.0,-0.003445089377049293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22471735789443428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015115330702841823,0.0,0.0,0.06611795353550357,0.0,0.0,0.0,0.0,0.14715130657655084,0.0,0.0,0.0,0.0,0.0,0.0
371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004078688889186777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062854330282347826,0.0,0.0,0.0,0.0,0.0,0.0,-0.002090896436612588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24554942598999363,0.0,0.012263157950514228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037785551642362275,0.0,0.0,0.0,0.0,0.16027611165300557,0.0,0.0,0.0,0.0,0.0,0.0
372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00366787429129517,0.009029683414436598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012123000516625218,0.0,0.0,0.0,0.0,0.0,0.0,0.24072835067904838,0.0,0.0,0.0,0.0,0.0,0.009029683414436615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03998546962803377,0.0,0.0,0.0,0.0,0.1625913173514231,0.0,0.0,0.0,0.0,0.0,0.0
373,0.0,0.0,0.0,-0.0003376465812679752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004069018276043834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005176235688036314,0.0,0.0,0.0,0.0,0.0,0.0,1.2677135684295108e-05,0.0,0.0,0.0,0.0,0.0,0.005539176209248088,0.0,0.0,0.0,0.0,0.24353194687066396,0.0,0.0,0.0,0.005176235688036314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05503649212835628,0.0,0.0,0.0,0.0,0.15729589279656955,0.0,0.0,0.0,0.0,0.0,0.0
374,-3.070004457594866e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003940196672668918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005900010014515705,0.0,0.0,0.0,0.0,0.0001267750940160591,0.0,0.2337042524362888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05370730918926261,0.0,0.0,0.0,0.0,0.16804208612284902,0.0,0.0,0.0,0.005773541920945442,0.0,0.005900010014515743
375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040609334111672,0.0,0.0,0.0,0.0,0.013520005547459671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.243293421609453e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23846407479178966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013520005547459671,0.0,0.0,0.0,0.0,0.04743793693559317,0.0,0.0,0.0,0.0,0.153413958955068,0.0,0.0,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004277358379378371,0.0,0.0,0.0,0.0003581548794782119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22905957178394898,0.0,0.0,0.0,0.0,0.0,0.011282530108341312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04706403685418509,0.0,0.0,0.0,0.0,0.15228860708902378,0.0,0.01128253010834133,0.0,0.011890359203309461,0.0,0.0
