fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,del_G_B,plddt_H3,plddt_L3
0.0,0.0,0.43,0.56,0.45,0.0558775459101873,0.0217257623430135,0.5159956206712935,0.5142081702798268,0.0102285117614887,0.009345164416776,0.5487109902584236,0.0101773872364844,0.0,0.0,0.6747416203407108,0.2249138734469036,2251.0,61.72067747667703,24.551455026455027,361.0,64.86493074792243,25.615625,3787.0,89.32894111433852,2.9644111570247933,6399.0,71.97151644631266,17.710497061159938,82.61706918238993,5.201570351758794,86.97316851664985,3.165255905511811,90.38952503209244,2.4043409260642274,26.8250234375,27.53301201923077,4.109145883413461,86.65992091037741,3.5903890611116105,19.489060446714745,39.51647772163594,26.32040672320545,0.3073055706912533,0.0442220045576889,0.0944427395276964,0.09,0.49,0.49,0.87,0.89,0.89,0.1,0.09,0.89,19.47,20.19,1.0750000000000002,83.29737317704837,89.12142857142858,88.2825
0.0,0.0,0.48,0.6,0.51,0.0937788338132549,0.047736949335944,0.5322887142305237,0.544593011190768,0.0120662999401337,0.0110690236339818,0.5869390352980943,0.0112504015554507,0.0,0.0,0.6820910863624565,0.2273636954541521,3459.0,68.9662821624747,22.01732542819499,724.0,72.36036602209944,21.650641025641026,3746.0,90.15489054991993,2.8492768595041325,7929.0,77.16051291149802,15.505747771113382,83.41754716981133,5.143236180904522,87.73164480322906,3.074963090551181,90.7152374839538,2.3825989544436146,23.6144140625,23.573338942307693,4.019850510817308,87.28814315233139,3.533599408633106,17.069201171874997,17.159368957781087,26.32040672320545,0.7017406497230206,0.1970307974087116,0.0944427395276964,0.18,0.54,0.53,0.87,0.89,0.89,0.18,0.17,0.89,16.53,17.205,1.06,124.57194226281564,90.52,89.54875
0.0,0.0,0.49,0.6,0.51,0.1491453107514567,0.0662370058017319,0.5191350260490679,0.5466728869533449,0.0123499008438548,0.0107767273647991,0.5939656398386071,0.0114927604619382,0.0,0.0,0.6831764831395098,0.2277254943798366,3641.0,68.04344548201044,22.27859824780976,1037.0,72.18322565091611,22.38560606060606,3717.0,90.38049233252625,2.821487603305785,8395.0,76.86905448848427,15.828563970573867,83.52715094339622,5.200726130653267,87.81007063572149,3.07085999015748,90.71138639281128,2.3667849141150112,23.726546875,23.367334134615387,4.0016789362980765,87.349535990643,3.546123678308586,17.031853315304488,19.10211279905131,26.32040672320545,0.6550000919080176,0.1652785883064724,0.0944427395276964,0.18,0.54,0.53,0.87,0.89,0.89,0.18,0.17,0.89,16.465,17.175,1.045,64.83776227132535,90.59857142857145,89.25375
0.01,0.0,0.5,0.62,0.53,0.1339373643796336,0.0443561123663912,0.5214277341835094,0.5353816463097084,0.0126698726728406,0.0117448927049422,0.6075924549736067,0.0118820662124966,0.0,0.0,0.6875789874753042,0.2291929958251014,3744.0,69.93940705128206,20.721035805626595,677.0,72.49271048744461,20.52692307692308,3695.0,90.47996752368064,2.7097251585623674,8116.0,77.63736168746911,14.652561347037349,83.77354716981131,5.090108040201005,88.02160443995965,3.042439714566929,90.89745827984596,2.352259148618372,22.499357421875,22.47744711538462,3.953752253605769,87.56420329653896,3.4949356344621023,16.310185596955133,17.232602343962803,26.32040672320545,0.6999548709022949,0.1956867214715727,0.0944427395276964,0.21,0.56,0.55,0.87,0.89,0.89,0.22,0.2,0.89,15.235,16.15,1.02,97.08367414179656,90.7757142857143,89.87625
0.0,0.0,0.49,0.6,0.51,0.1317092055716764,0.030917922080443,0.5143008107627675,0.5081011907318178,0.011913731607878,0.0109628979074847,0.5921026191541002,0.011277924999582,0.0,0.0,0.6868976784605214,0.2289658928201738,3574.0,69.02850027979854,22.33428571428572,411.0,71.10333333333334,22.364102564102563,3592.0,90.62466870824056,2.7536997885835097,7577.0,76.91883410712414,15.817362688990595,83.33891194968554,5.147690954773869,87.91308779011099,3.022520915354331,90.7536970474968,2.3610810306198657,23.6656484375,23.44267788461538,3.9483736478365374,87.33523226243112,3.510430966916022,17.018899989983975,17.577185198081295,26.32040672320545,0.691573439594546,0.1895293546660728,0.0944427395276964,0.18,0.54,0.53,0.87,0.89,0.89,0.18,0.17,0.89,16.28,16.955,1.0550000000000002,56.60534155106086,90.58,89.38875
0.01,0.0,0.45,0.57,0.48,0.1034306122100277,0.0397296836754409,0.5159417424966026,0.5289350309321805,0.0113922679282428,0.0103970006443641,0.5649268846923979,0.0105318556658066,0.0,0.0,0.6809383251092523,0.2269794417030841,2823.0,69.73589443854056,24.43027027027027,630.0,71.09938095238095,22.99015151515152,3685.0,90.34954952510176,2.900909090909091,7138.0,77.0616083053411,16.773776958776956,83.73136477987421,5.022562814070351,87.32877901109991,3.114050196850393,90.69101412066752,2.356665421956684,26.0420078125,26.0098125,4.029105318509616,87.25038597054721,3.4977594776258094,18.69364187700321,20.139027137686664,26.32040672320545,0.6307346957874826,0.1512042722170983,0.0944427395276964,0.12,0.51,0.51,0.88,0.89,0.89,0.13,0.12,0.89,19.625,19.735,1.04,132.897072757895,89.30714285714286,89.9725
0.0,0.0,0.45,0.58,0.48,0.0941871470010797,0.0450595933283087,0.5133802947494902,0.5353319595235925,0.0116478323395311,0.0104190401676275,0.5787268073362374,0.0107377779591558,0.0,0.0,0.6827816015764531,0.227593867192151,2810.0,68.04667259786477,24.028558558558554,722.0,72.43871883656509,22.44065934065934,3697.0,90.22014335948067,2.8243657505285413,7229.0,76.90184493130351,16.431194549915478,83.75332075471697,5.044786432160804,87.41182643794147,3.0977423720472443,90.77679075738124,2.3445388349514564,25.636271484375,25.550221153846152,4.010595703125,87.31397931667989,3.4956892130531685,18.399029447115385,19.39192532571465,26.32040672320545,0.6481633176082913,0.1611655608146026,0.0944427395276964,0.13,0.51,0.51,0.87,0.89,0.89,0.14,0.13,0.89,18.86,18.905,1.05,116.84860216617346,89.51857142857143,90.19375
0.0,0.0,0.45,0.58,0.48,0.1117556957855944,0.0324963402975006,0.5165867841060962,0.5157800595001991,0.0115401826749699,0.0103532417860031,0.5680585965776248,0.0104608262806018,0.0,0.0,0.6763376006415278,0.2254458668805092,3558.0,67.65026840921867,24.501199494949496,580.0,70.10756034482759,23.83125,3716.0,90.04984930032292,2.9605708245243125,7854.0,75.93589268478974,17.097673439824604,83.00462264150944,5.1678216080402,87.12166498486377,3.181748277559055,90.35874197689344,2.383037714712472,25.754330078125,25.260625,4.10361328125,86.82834320108888,3.577535866770576,18.372856119791667,17.602109962985338,26.32040672320545,0.6909686147267986,0.1890944084831015,0.0944427395276964,0.13,0.51,0.51,0.87,0.89,0.89,0.13,0.12,0.89,18.84,19.130000000000003,1.05,83.82226121502981,89.41857142857144,89.3775
0.0,0.0,0.46,0.58,0.48,0.133069429521715,0.0442174195456459,0.5076774985154191,0.5241937688160088,0.0119126909196709,0.0109673606502227,0.5723716738944622,0.0110440753028442,0.0,0.0,0.6789909553532765,0.2263303184510921,3768.0,68.9187088641189,23.4515318627451,685.0,72.14906569343066,21.85538461538461,3515.0,90.86434850640116,2.770454545454545,7968.0,77.31070768798357,16.025790341194753,84.04694339622642,5.027231155778894,87.33602421796165,3.187093996062992,90.7595378690629,2.369865571321882,25.261240234375,25.19436057692308,4.094471153846154,87.38083516108367,3.528063574387923,18.18335732171474,18.141921249481868,26.32040672320545,0.677921984946812,0.1800042972020211,0.0944427395276964,0.15,0.52,0.52,0.88,0.89,0.89,0.15,0.15,0.89,18.44,18.805,1.05,297.29591181492094,89.48,90.06
0.0,0.0,0.45,0.58,0.48,0.0808437493550658,0.0455583454419257,0.5168650768812605,0.5351040476573081,0.0115684332366106,0.0104212478470267,0.5543527987646449,0.0104546714744632,0.0,0.0,0.6803880723893609,0.2267960241297869,2729.0,68.60671491388787,24.127017543859644,593.0,71.76190556492412,22.97651515151515,3554.0,90.42962296004502,2.896646836127637,6876.0,76.93274781295234,16.666726510500812,83.68583018867925,5.143304020100502,87.32457114026236,3.1604699803149607,90.8140051347882,2.347376773711725,25.663984375000005,25.58041346153846,4.032722355769232,87.2748021545766,3.550383591375729,18.42570673076923,20.01200350815501,26.32040672320545,0.6336771573424961,0.1528355647663033,0.0944427395276964,0.13,0.51,0.51,0.87,0.89,0.89,0.13,0.13,0.89,19.09,19.105,1.06,39.52378302248701,89.52857142857142,90.01875
