total_contacts,chain_plddt_L,model_avg_RMSD,interface_plddt_HL,interface_pae_AH,mpdockq_AL,chain_pair_iptm_HL,contacts_HL,ranking_confidence,iptm_L,chain_plddt_A,chain_pair_pae_min_AH,chain_pair_pae_HL,interface_pae_AL,avg_internal_pae,iptm_H,ptm_A,ptm_H,interface_pae_HL,pdockq_AH,pdockq_HL,iptm_A,pdockq2_AL,scaled_query_RMSD,ipTM,chain_pair_pae_min_AL,chain_pair_iptm_AH,scaled_RMSD_ratio,pdockq,pdockq_AL,mpdockq_HL,avg_pair_pae,interface_plddt_AL,mpdockq,avg_LIS,query_avg_RMSD,avg_model_plddt,LIS_AH,scaled_model_RMSD,chain_pair_pae_min_HL,LIS_AL,pdockq2_HL,chain_plddt_H,pdockq2,LIS_HL,chain_pae_H,has_clash,chain_pae_A,avg_interface_plddt,avg_interface_pae,mpdockq_AH,chain_pae_L,pdockq2_AH,chain_pair_pae_AH,pTM,chain_pair_pae_AL,contacts_AL,interface_plddt_AH,ptm_L,del_G_B,chain_pair_iptm_AL,contacts_AH,fraction_disordered
7440.0,86.80616279069768,37.79584682540478,79.41560273972604,26.4460358056266,0.2620000000039003,0.88,4745.0,0.6,0.49,78.33975356679636,18.585,4.735581831831832,24.65318181818181,3.722970579548209,0.5,0.73,0.88,3.842474747474747,0.0796827237409188,0.3748033830554382,0.11,0.0121684082498271,0.0370725090071022,0.57,17.31,0.12,0.5677890782389903,0.0922943421727778,0.0206173874461284,0.2620001467642072,18.60858879932564,63.30866228070175,0.2620000026017391,0.2202240010590404,43.32012777133689,84.19672122310733,0.0,0.0481417601339209,1.06,0.0,0.2354569351736606,87.44424731182795,0.0102725787020386,0.6606720031771212,3.177212885154062,0.0,4.72464725643897,69.32209215250792,18.313897457094388,0.26200000176712,3.267051597051597,0.0100945175441211,25.767372807017544,0.7,25.32281175912756,684.0,65.24201143709597,0.87,14.807517131369991,0.11,2011.0,0.02
7169.0,86.59316279069768,42.65932961935005,79.98701129452648,26.853125,0.2620000006517251,0.87,4604.0,0.59,0.48,76.98657587548638,18.97,4.795390390390391,26.255384615384614,3.754352932064216,0.48,0.72,0.88,4.127439613526571,0.0285966424746731,0.4047558117891476,0.09,0.0103930513456823,0.0370725090071022,0.55,18.41,0.09,0.5076850813285131,0.0837361539715927,0.0556513165392164,0.2620002005584516,19.317929916758864,64.4998458802608,0.2620000020154999,0.2185835464083488,43.32012777133689,83.61401683138034,0.0,0.0381857230233256,1.085,0.0,0.2409632356086844,87.26231182795699,0.0102976460795265,0.6557506392250465,3.2851680672268904,0.0,4.7327883538633815,69.15783811672863,19.078649742970395,0.2620000000555558,3.245102375102374,0.0095818068299099,26.61816228070176,0.69,26.54023707918445,1687.0,62.98665717539863,0.87,43.66920272691169,0.09,878.0,0.01
7377.0,85.73470930232557,57.45648447364431,78.5997794117647,28.50590277777778,0.2620000000923799,0.87,4556.0,0.58,0.47,75.71399481193257,22.06,4.909091591591592,29.486263736263737,3.8187186782205225,0.47,0.73,0.88,4.236328502415459,0.0420384990750941,0.3784511513957612,0.07,0.0093420344457499,0.0370725090071022,0.54,22.43,0.07,0.3624327097869761,0.0661286000216618,0.0318162009549719,0.2620001524462866,20.50147829408356,63.7966935483871,0.2620000010656105,0.2176599869057061,43.32012777133689,82.77813434632976,0.0,0.0214169412265663,1.07,0.0,0.2875783119272809,86.88569892473117,0.0094455365190977,0.6529799607171183,3.312878151260504,0.0,4.758756998880179,68.42598064759402,20.742831672152324,0.262000000269606,3.3845208845208847,0.0095900340541024,28.134508771929827,0.68,28.460834518729257,806.0,62.88146898263027,0.87,123.72308992555531,0.07,2015.0,0.02
7476.0,86.70269767441862,47.55195798130786,81.82951239100505,27.436,0.2620000000714004,0.88,4358.0,0.59,0.48,76.31565499351493,20.345,4.766921921921922,27.46153846153846,3.791766414019065,0.48,0.73,0.88,4.04207729468599,0.0512430164399398,0.3972761098341128,0.08,0.0102750347254737,0.0370725090071022,0.55,19.43,0.09,0.4535316863327907,0.0750773570665857,0.0300805186253463,0.2620001854822335,19.910712199041143,63.14644249512671,0.262000001506897,0.2199863436122957,43.32012777133689,83.49083440185598,0.0,0.0309628874145069,1.06,0.0,0.3101649626643569,87.45415053763439,0.0098816995093548,0.6599590308368872,3.2499929971988792,0.0,4.816338185890257,68.65760717364367,19.64653858540815,0.2620000005092192,3.308968058968059,0.0097361507638396,27.376679824561407,0.69,27.588534850640112,1026.0,60.99686663479923,0.87,102.38543467522464,0.08,2092.0,0.02
8426.0,86.80202325581396,37.93146246732629,83.0842031544256,25.90868347338936,0.2620000011887915,0.87,4248.0,0.59,0.49,76.80426718547342,19.61,4.807214714714714,26.469526627218936,3.8425928203111854,0.48,0.71,0.88,4.117481481481481,0.0732400053556776,0.3979549659908806,0.09,0.0106690412237011,0.0370725090071022,0.56,18.62,0.09,0.5660303061249446,0.1551943049704831,0.0688029863277533,0.2620001868010771,19.18025471524156,64.13674477696217,0.2620000100145241,0.22050988235631,43.32012777133689,83.5647778173467,0.0,0.0478145651525844,1.07,0.0,0.3140304165636797,87.0880430107527,0.0104899976591579,0.6615296470689302,3.2729761904761903,0.0,4.987480403135498,70.3846865629207,18.831897194029928,0.2620000014094548,3.267321867321867,0.0102535811507747,26.344995614035085,0.69,26.38855381697487,1771.0,63.93311175737433,0.87,246.6839565792748,0.1,2407.0,0.0
8275.0,86.85867441860466,38.147988987274864,79.2369453341875,27.482333333333333,0.2620000000517243,0.87,4683.0,0.6,0.49,78.08269779507133,19.72,4.8165015015015005,25.571428571428573,3.74445422483908,0.49,0.73,0.88,4.1413161801088565,0.074040909507382,0.4255738126573697,0.1,0.0108708110157429,0.0370725090071022,0.56,18.525,0.11,0.5632318025609725,0.1015954894137056,0.0282079284710057,0.2620002496339947,19.00591120067436,66.56579650092081,0.2620000033389437,0.2193390948798036,43.32012777133689,84.00529969846548,0.0,0.0472989186933809,1.0950000000000002,0.0,0.2412831020231747,87.07452688172043,0.0100733545200968,0.658017284639411,3.3007633053221284,0.0,4.666170212765957,69.91291713737449,19.06502602829025,0.2620000014514883,3.2664291564291568,0.0100235700114728,26.380008771929823,0.69,25.82122332859176,1086.0,63.93600957701517,0.87,179.52292885365915,0.1,2506.0,0.02
6767.0,87.16575581395348,49.01257112934496,83.15120580660268,26.76342105263157,0.2620000000463952,0.88,4271.0,0.58,0.48,77.1590402075227,20.16,4.632323573573573,26.87777777777778,3.637550961748643,0.49,0.74,0.88,3.840869565217392,0.040103939468985,0.4131299587761864,0.09,0.0105021059382952,0.0370725090071022,0.56,19.63,0.09,0.4385820088942072,0.0619473007052143,0.0276432702181711,0.2620002189545863,19.697413690005792,62.644043977055446,0.2620000008874887,0.2206597496876894,43.32012777133689,83.9795556630727,0.0,0.0291980286144526,1.06,0.0,0.3295914044003283,87.61387096774193,0.0099930237844614,0.6619792490630683,3.197885154061624,0.0,4.540705487122061,69.05808545753632,19.160689465208915,0.262000000228981,3.1740622440622444,0.0098090231246204,27.07312280701754,0.69,27.386794689426267,523.0,61.37900658895084,0.87,11.9584021512278,0.09,1973.0,0.0
9075.0,87.04958139534884,38.25767982339929,78.58040098039216,27.291533180778032,0.2620000001123247,0.88,5100.0,0.6,0.49,77.98793774319066,19.46,4.615574324324324,25.04978991596639,3.659118413816392,0.5,0.73,0.88,3.986640277090549,0.0858013068700433,0.4214214327615487,0.11,0.0107428255343605,0.0370725090071022,0.56,18.12,0.11,0.5618186151346722,0.127286536691952,0.0332943651022425,0.262000238919424,18.78035660660661,67.15453162530024,0.2620000059766719,0.2202706423914685,43.32012777133689,84.07225906768521,0.0,0.0470408209650693,1.045,0.0,0.162568313110055,87.17925806451613,0.0101460653932407,0.6608119271744055,3.22266106442577,0.0,4.671041433370661,69.84468223075538,18.77598779127832,0.2620000021491765,3.0836527436527432,0.0099649757357464,26.177719298245613,0.7,25.54777619724988,1249.0,63.79911408657374,0.88,66.26407531431207,0.1,2726.0,0.01
9246.0,87.12098837209301,37.95253835162972,80.21972909051816,27.394555555555552,0.2620000003450204,0.88,4651.0,0.59,0.49,78.09675745784696,19.54,4.771753003003003,25.825401069518712,3.721883387148685,0.49,0.72,0.88,4.071884057971015,0.0813875369939147,0.4050779471004621,0.11,0.0103839441693522,0.0370725090071022,0.56,18.625,0.11,0.5657573917009483,0.135525058428919,0.0452729764534658,0.2620002012354971,18.964059915178336,68.06969055374593,0.2620000070305395,0.2189795799000055,43.32012777133689,84.12798696123447,0.0,0.0477640107279342,1.0750000000000002,0.0,0.25618607619195,87.16621505376344,0.0101033408764023,0.6569387397000166,3.295273109243697,0.0,4.6706718924972,70.63995251758693,19.09728022768176,0.2620000018693474,3.199705159705159,0.0100587278437776,26.31456140350877,0.69,25.80586533902323,1535.0,63.63043790849672,0.87,406.5127522929572,0.1,3060.0,0.01
7878.0,86.99351162790697,51.7959858976065,77.51058932618997,26.62475,0.2620000001471002,0.88,4853.0,0.59,0.49,76.83747081712063,19.13,4.732987987987988,26.114,3.787426334209485,0.49,0.73,0.88,4.096338446313705,0.0409963780709695,0.3746965249949093,0.1,0.0106135015115165,0.0370725090071022,0.56,18.045,0.1,0.4115913830935725,0.0748243320491309,0.0355904531428432,0.2620001466009692,19.4218313445024,65.2294655004859,0.2620000014932644,0.2216404574459038,43.32012777133689,83.6761948651884,0.0,0.026224339503212,1.04,0.0,0.1565415661994075,87.19760215053762,0.0103131900898246,0.6649213723377116,3.3800980392156865,0.0,4.817569988801791,67.69033975184453,18.94502948210457,0.2620000002473073,3.1646109746109747,0.0099796098510455,26.73347807017544,0.69,26.799027975343765,1029.0,60.33096442885772,0.88,89.6993782488625,0.09,1996.0,0.01
