pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,del_G_B
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-0/model.cif,6x97,5,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-0/confidences.json,"[0.1, 0.44, 0.44]","[[0.84, 0.1, 0.1], [0.1, 0.85, 0.78], [0.1, 0.78, 0.84]]","[[0.76, 26.92, 26.83], [25.5, 0.76, 2.43], [26.65, 2.03, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.26,0.62,0.33,AF3,108.53547144409953
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-1/model.cif,6x97,5,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-1/confidences.json,"[0.1, 0.45, 0.45]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.8], [0.1, 0.8, 0.84]]","[[0.76, 26.11, 27.21], [22.3, 0.76, 1.88], [23.02, 1.94, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.27,0.62,0.34,AF3,138.47172444476098
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-2/model.cif,6x97,5,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-2/confidences.json,"[0.1, 0.45, 0.44]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.79], [0.1, 0.79, 0.84]]","[[0.76, 26.21, 26.93], [22.17, 0.76, 2.22], [23.33, 2.12, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.26,0.62,0.34,AF3,201.8468642370438
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-3/model.cif,6x97,5,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-3/confidences.json,"[0.09, 0.44, 0.43]","[[0.84, 0.09, 0.09], [0.09, 0.85, 0.78], [0.09, 0.78, 0.83]]","[[0.76, 29.31, 29.33], [24.18, 0.76, 2.34], [24.44, 2.25, 0.76]]","[0.84, 0.85, 0.83]",0.03,0.0,0.25,0.61,0.34,AF3,89.83859077374066
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-4/model.cif,6x97,5,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-5_sample-4/confidences.json,"[0.1, 0.45, 0.45]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.79], [0.1, 0.79, 0.84]]","[[0.76, 26.07, 27.15], [21.78, 0.76, 1.91], [22.88, 1.94, 0.76]]","[0.84, 0.85, 0.84]",0.02,0.0,0.27,0.62,0.35,AF3,28.308169770789334
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-0/model.cif,6x97,6,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-0/confidences.json,"[0.19, 0.51, 0.49]","[[0.84, 0.2, 0.17], [0.2, 0.84, 0.81], [0.17, 0.81, 0.84]]","[[0.76, 21.7, 22.06], [21.06, 0.76, 1.36], [21.96, 1.39, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.3,0.64,0.37,AF3,34.40684521337869
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-1/model.cif,6x97,6,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-1/confidences.json,"[0.19, 0.51, 0.49]","[[0.84, 0.21, 0.17], [0.21, 0.84, 0.81], [0.17, 0.81, 0.84]]","[[0.76, 21.63, 22.12], [20.55, 0.76, 1.36], [21.54, 1.39, 0.76]]","[0.84, 0.84, 0.84]",0.02,0.0,0.3,0.64,0.38,AF3,17.6211937216475
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-2/model.cif,6x97,6,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-2/confidences.json,"[0.16, 0.49, 0.48]","[[0.84, 0.18, 0.14], [0.18, 0.84, 0.81], [0.14, 0.81, 0.84]]","[[0.76, 21.87, 22.15], [20.98, 0.76, 1.47], [22.07, 1.44, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.28,0.64,0.35,AF3,16.19762946628839
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-3/model.cif,6x97,6,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-3/confidences.json,"[0.19, 0.51, 0.49]","[[0.84, 0.2, 0.17], [0.2, 0.84, 0.81], [0.17, 0.81, 0.84]]","[[0.76, 21.93, 22.26], [20.97, 0.76, 1.37], [21.7, 1.38, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.3,0.64,0.37,AF3,95.11600916936925
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-4/model.cif,6x97,6,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-6_sample-4/confidences.json,"[0.2, 0.51, 0.5]","[[0.84, 0.21, 0.18], [0.21, 0.84, 0.82], [0.18, 0.82, 0.85]]","[[0.76, 21.63, 21.93], [21.04, 0.76, 1.35], [21.63, 1.36, 0.76]]","[0.84, 0.84, 0.85]",0.0,0.0,0.3,0.65,0.37,AF3,34.03699256652885
